,target,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,learning_rate,RMSE,R2
163,HB,147,2.0,9,9,10,0.012818702335909218,43.58880887872281,0.6623755103525362
164,HB,457,,2,8,10,0.38571944525411633,32.85170205387614,0.8048364982922451
165,HB,130,,10,9,1,0.3043105298974968,32.6461398407337,0.810366323476725
166,HB,222,10.0,3,13,10,0.33923707272209286,31.22608072441732,0.8247699014887411
167,HB,10,2.0,4,1,10,0.3603423154949928,37.175058476666706,0.7552396754021719
168,HB,500,,14,14,10,0.3551672045074872,31.603903603491425,0.8149391373606558
169,HB,500,20.0,2,13,5,0.3130751447539529,31.830880041166857,0.823425907270113
170,HB,226,20.0,10,14,sqrt,0.2622679321949317,31.015981582347166,0.8393383284915883
171,HB,249,4.0,4,13,sqrt,0.26178486221565495,32.13773245273152,0.8143238479020523
172,HB,10,20.0,20,17,sqrt,0.2583825644871915,47.52315772329762,0.6216927452963898
173,HB,320,2.0,2,18,10,0.456213575895991,34.732158023745185,0.7870882281622802
174,HB,500,20.0,2,11,10,0.7,35.07901107070425,0.8179979452337529
175,HB,239,20.0,20,14,1,0.32204187266636075,35.3073810618849,0.7905263815490182
176,HB,208,20.0,5,11,5,0.3151369978273027,31.93617838977791,0.8053714663842175
177,HB,267,20.0,8,15,log2,0.283200673396588,31.697203564312836,0.827253838410254
178,HB,500,4.0,15,17,10,0.24168510910440089,31.622001146018782,0.8217757910095663
179,HB,500,2.0,13,13,3,0.24690164479683036,33.71383321310289,0.8079625028720012
180,HB,500,20.0,13,19,10,0.3118753048742986,34.15093261075917,0.8098448604634751
181,HB,274,20.0,2,14,3,0.3267208132036827,31.445968596943782,0.7997924047787818
182,HB,500,,2,13,10,0.41927134798293825,31.767385638845674,0.8206487092780663
183,HB,147,5.0,2,9,sqrt,0.36701195467306863,32.04734365339306,0.8154350191293245
184,HB,357,2.0,10,17,10,0.21046378052550896,34.77567676204872,0.7888199750029883
185,HB,234,20.0,7,14,sqrt,0.3194040647445195,31.85897654590707,0.8146392657383091
186,HB,500,5.0,20,16,5,0.2952865073796584,31.964092610823137,0.8297436103392146
187,HB,399,20.0,2,13,10,0.41187846053967325,32.010233830848414,0.8250699653744432
188,HB,212,,2,13,1,0.32431674556051426,35.225231255215284,0.7844802823874348
189,HB,257,15.0,3,13,log2,0.2642224018277238,31.443025042242983,0.8178284444157113
190,HB,253,10.0,5,12,3,0.31040835025040636,31.42193482803416,0.818983945240282
191,HB,179,2.0,8,8,10,0.3830557425545545,32.75225371551884,0.8086357006251008
192,HB,276,20.0,6,14,log2,0.2523920613427682,30.671835635639535,0.8416175932885621
193,HB,302,20.0,8,14,,0.22552865795867294,31.540219633742776,0.825104178346598
194,HB,500,,15,14,10,0.491540467508026,31.652792933498024,0.8107518111552325
195,HB,500,,20,18,5,0.35785034207807837,32.63131685499458,0.79232698243137
196,HB,500,20.0,20,20,sqrt,0.01,40.49754978515614,0.7097154127805032
197,HB,500,4.0,7,14,10,0.4108464886114142,30.413788222838594,0.8113890087735492
198,HB,500,4.0,7,14,10,0.4104765319572558,31.761414422945837,0.8248875601035378
199,HB,500,,20,1,5,0.7,36.24314137791332,0.7610094706933684
200,K,300,15.0,17,17,3,0.27522337803196295,21.034356369686755,0.6898364999169022
201,K,156,,7,10,5,0.3411842489387896,21.983324316189822,0.6690151792623672
202,K,202,15.0,8,13,,0.6704370596776021,23.69513085261584,0.6269442881211085
203,K,79,15.0,11,16,1,0.47842687578208265,22.727782395279984,0.6327555150003821
204,K,363,5.0,12,15,log2,0.3367842893491937,21.89611321927511,0.6755585543191944
205,K,101,10.0,6,4,,0.11327565835674139,22.852069187526194,0.6449048186656829
206,K,119,4.0,18,10,3,0.6326205223900493,23.188081721214633,0.6371437291486648
207,K,59,20.0,14,4,,0.5279734374407349,23.26952739949492,0.6420242203744111
208,K,308,3.0,3,13,10,0.4604253187337887,22.474194870047654,0.6421723923452375
209,K,321,20.0,12,9,1,0.44022196978098915,22.654009061865665,0.682002999279044
210,K,201,4.0,2,7,1,0.23362831343381404,21.335987011406594,0.6778275764589328
211,K,430,20.0,19,20,1,0.2693485682811146,23.062376095099033,0.6687744565556124
212,K,269,,4,17,3,0.2483261735540587,21.094559634575724,0.6922363606059627
213,K,263,3.0,17,3,,0.28825072084602704,22.035797747881126,0.6736560978488286
214,K,297,20.0,13,15,sqrt,0.1686333933299959,21.393245469598032,0.6919943610358579
215,K,294,20.0,20,20,sqrt,0.27691006075845853,22.067379035971875,0.6756128065261726
216,K,296,10.0,14,17,3,0.27001510266282724,21.382537597184047,0.6932943583386723
217,K,263,3.0,12,14,5,0.233472272059647,20.64563722094612,0.7025837149563394
218,K,265,3.0,13,12,10,0.2033716130825744,20.66025912559546,0.6964137915834935
219,K,254,20.0,2,12,10,0.22069364342111839,22.315357064951144,0.6832584556581376
220,K,267,3.0,15,14,5,0.16286969864370426,20.696637359779636,0.698416117340446
221,K,267,2.0,14,14,5,0.16124183001395154,22.081758534204795,0.6859687633898104
222,K,310,,8,20,5,0.01979148805055209,24.6161665928945,0.5948146576281346
223,K,147,,13,20,10,0.22646459590697177,21.131571183716897,0.695085983136962
224,K,10,4.0,10,1,3,0.23396116504281625,29.351650687543504,0.5289274776194786
225,K,500,,2,20,10,0.7,25.105426326460282,0.6193450791530235
226,K,178,,20,20,10,0.143236458297394,21.230582779225973,0.7008054600268951
227,K,163,,9,17,log2,0.01,30.611472629195625,0.3643718616221806
228,K,483,20.0,16,18,5,0.22980203312729353,21.28705438075972,0.6876138134071471
229,K,253,3.0,12,13,5,0.21654387300022324,21.34152824420733,0.7124917494847995
230,K,173,2.0,12,20,10,0.01,32.35295523559279,0.3003300284450243
